"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16244","BRBLF62AP1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","21528","EXLEE181","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","50140","EXECM30ACO1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","46788","EXLL14X1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","27308","PANAF190G1W1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","52096","EXEBL1500CNZ1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","22150","EXMI41S2","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","13676","EXLS08E1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","20062","HR4160880PGF1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","18319","OSOBAT641PTO1","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","17139","HH43Q6QVVPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","18384","EXIT70SB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","31342","COCZD12MT1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","15417","EXFE5GBB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","17850","EXKE5XCB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","15045","L2ZAG70943CNZB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","9989","LO910007601GFT","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","18911","1QMHP27S22","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","18454","JBLT780NCBCOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","17303","PANRBB64PV2X","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","9115","LJLIP23ACRM","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","13033","EXOE8EW2","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","18107","JBLBOOMBX4LRJB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","29411","HHAP12CWBRBCO1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","9906","JBLOOMBOX4PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","19969","JBLPB130PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","30540","EXFE4DG2","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19193","OSOBAT640PTO1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","17527","JBLT730BTBCOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","15224","EXESM03PTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","15463","JBLWBUDS2PTO","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19440","JBLT530BTAZLB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","24269","EXESI60AZL1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","18190","BRBMO40AR2","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","20898","PANNST55LMR1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","15471","JBLGRIPPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","22831","EXIM7S1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","20159","EXIM7S2","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","26313","JBLT530BTBGEB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","23893","EXIB7S1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","20957","L283GM0003BRB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","27331","EXLS08E2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","15918","JBJBLPBCLUPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","10854","JBLENDUPEAPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","25018","EXMI41S1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","52011","EXEAF45PTO1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","20668","BRBO260ARBNA","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","6503","3L71465PTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","21593","BRBOA84AE2","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","52518","HHWD3S1243BB1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","15272","JBLT730BTPTOB","Captura de preços","2026-09-11","failed","2026-09-11","","BD","",""
"","24068","EXFE5DC1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","25305","1QMHP27S11","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","16851","JBLT530BTBCOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","20952","BPCHIPTRIPL4SP","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","21810","BRBLF08BSANA1","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","20053","EXLL10X2","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","23575","BRBWF18ABANA1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","21700","JBLT730BAZLB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","16871","TK65C6KPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","15046","TK55C6KPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18286","BRBDK75DRB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","26458","BRBRA08ME1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19271","JBLGO5BCO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","16591","EXBSE40CNZB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","14016","JBLENDUZONPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","30193","HHWD1I1141BT11","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19893","LO941000119PTO","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","26347","JBLT530BTPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","24121","EXPC01XGFT1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","9044","EXME3BP2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","15670","9EE600PTO","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","13518","BRBFO4XAEUNAB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","19412","EXSFP122","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","10204","I4CH35PDWTBCOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","24161","BRBLF08BSANA2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18586","JBLTBUDS2BPTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","23917","HW14262RSAB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","18262","JBLBOOMBX4PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","16548","HH75Q6QVVPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","14754","EXPE12GCNZB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","16168","LOG305LIGHPTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","16575","WAMG7922PTAB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","18168","JBLT780NCPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","13909","JBLLIVE780BCOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","24852","COCPC31AFONAB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","16157","JBLSB180BRPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
